,meta.numFound,meta.start,data.id,data.counter_total_all,data.publication_date,data.author,data.pagecount,data.volume,data.copyright,data.financial_disclosure,data.title
1083,2620,2501,10.1371/journal.pone.0116038,5674,2015-01-07T00:00:00Z,"Astrid Schuster,Dirk Erpenbeck,Andrzej Pisera,John Hooper,Monika Bryce,Jane Fromont,Gert Wörheide",36,10,"Schuster et al This is an open-access article distributed under the terms of the Creative Commons Attribution License, which permits unrestricted use, distribution, and reproduction in any medium, provided the original author and source are credited.","AS wants to thank PROSALMU for financing the research visit to the Institute of Palaeobiology in Poland, the LMUMentoring GeoSciences program for funding her attendance to the 9th World Sponge Conference and the Sponge Training Workshop in Fremantle and Perth, Australia. The funders had no role in study design, data collection and analysis, decision to publish, or preparation of the manuscript.",Deceptive Desmas: Molecular Phylogenetics Suggests a New Classification and Uncovers Convergent Evolution of Lithistid Demosponges
2092,2620,2501,10.1371/journal.pgen.1004915,15919,2015-01-08T00:00:00Z,"Irina Makarevitch,Amanda J Waters,Patrick T West,Michelle Stitzer,Candice N Hirsch,Jeffrey Ross-Ibarra,Nathan M Springer",12,11,"Makarevitch et al This is an open-access article distributed under the terms of the Creative Commons Attribution License, which permits unrestricted use, distribution, and reproduction in any medium, provided the original author and source are credited.","The work was supported by grants NSF MRI-R2 0957312 to IM, NSF IOS-1238014 to JRI, NSF IOS–1237931 to NMS, and MS is supported by an NSF Graduate Research Fellowship. The funders had no role in study design, data collection and analysis, decision to publish, or preparation of the manuscript.",Transposable Elements Contribute to Activation of Maize Genes in Response to Abiotic Stress
2036,2620,2501,10.1371/journal.pone.0116673,4785,2015-01-22T00:00:00Z,"Ubirajara Oliveira,Antonio D Brescovit,Adalberto J Santos",18,10,"Oliveira et al This is an open access article distributed under the terms of the Creative Commons Attribution License, which permits unrestricted use, distribution, and reproduction in any medium, provided the original author and source are credited","This study was sponsored by a FAPEMIG and CAPES graduate fellowships to UO and by research grants from CNPq (301776/2004-0) and FAPESP (2011/50689-0) to ADB; and CNPq (475179/2012-9, 308072/2012-0), FAPEMIG (PPM-00335-13) and Instituto Nacional de Ciência e Tecnologia dos Hymenoptera Parasitóides da Região Sudeste Brasileira (http://www.hympar.ufscar.br/) to AJS. The funders had no role in study design, data collection and analysis, decision to publish, or preparation of the manuscript.",Delimiting Areas of Endemism through Kernel Interpolation
2163,2620,2501,10.1371/journal.pone.0115314,3642,2015-01-23T00:00:00Z,"Lisa Adolfsson,Katalin Solymosi,Mats X Andersson,Áron Keresztes,Johan Uddling,Benoît Schoefs,Cornelia Spetea",18,10,"Adolfsson et al This is an open access article distributed under the terms of the Creative Commons Attribution License, which permits unrestricted use, distribution, and reproduction in any medium, provided the original author and source are credited","Research in the C.S. laboratory has been supported by grants from the Swedish Research Council, Carl Tryggers Foundation, Engkvists Stiftelser, Adlebertska Forskningsstiftelser and University of Gothenburg. B.S. acknowledges funding from the Ministry of Research and Education of the Republic of France and the University of Le Mans. C.S. and B.S. also thank the University of Le Mans and the Région “Pays de la Loire” for guest professor and ‘chercheur haut niveau’ positions. L.A. acknowledges a travel grant from Helge Ax:Son Johnsons Foundation.",Mycorrhiza Symbiosis Increases the Surface for Sunlight Capture in Medicago truncatula for Better Photosynthetic Production
2020,2620,2501,10.1371/journal.pone.0117201,3213,2015-01-24T00:00:00Z,"Oleg A Ermakov,Evgeniy Simonov,Vadim L Surin,Sergey V Titov,Oleg V Brandler,Natalia V Ivanova,Alex V Borisenko",19,10,"Ermakov et al This is an open access article distributed under the terms of the Creative Commons Attribution License, which permits unrestricted use, distribution, and reproduction in any medium, provided the original author and source are credited",NA,"Implications of Hybridization, NUMTs, and Overlooked Diversity for DNA Barcoding of Eurasian Ground Squirrels"
910,2620,2501,10.1371/journal.pone.0116140,5018,2015-01-28T00:00:00Z,"Martin Ebert,Martina Kölbl-Ebert,Jennifer A Lane",33,10,"Ebert et al This is an open access article distributed under the terms of the Creative Commons Attribution License, which permits unrestricted use, distribution, and reproduction in any medium, provided the original author and source are credited","Funding for this project was provided by Volkswagen Foundation grant I/84 636 “The Dynamic of the Solnhofen Archipelago (to MKE), in the years 2010–2012. The funders had no role in study design, data collection and analysis, decision to publish, or preparation of the manuscript.","Fauna and Predator-Prey Relationships of Ettling, an Actinopterygian Fish-Dominated Konservat-Lagerstätte from the Late Jurassic of Southern Germany"
1806,2620,2501,10.1371/journal.pone.0116557,2707,2015-01-28T00:00:00Z,"Carolina Loch,Jules A Kieser,R Ewan Fordyce",14,10,"Loch et al This is an open access article distributed under the terms of the Creative Commons Attribution License, which permits unrestricted use, distribution, and reproduction in any medium, provided the original author and source are credited","CL received an University of Otago PhD scholarship and Sir John Walsh Research Institute Postdoctoral Fellowship. The funders had no role in study design, data collection and analysis, decision to publish, or preparation of the manuscript.",Enamel Ultrastructure in Fossil Cetaceans (Cetacea: Archaeoceti and Odontoceti)
2580,2620,2501,10.1371/journal.pone.0115246,11660,2015-01-28T00:00:00Z,"Sarah E Moffitt,Russell A Moffitt,Wilson Sauthoff,Catherine V Davis,Kathryn Hewett,Tessa M Hill",39,10,"Moffitt et al This is an open access article distributed under the terms of the Creative Commons Attribution License, which permits unrestricted use, distribution, and reproduction in any medium, provided the original author and source are credited","Support was provided by the National Science Foundation (OCE 0825322 and OCE 1255194 to TMH), the University of California Multicampus Research Programs and Initiatives (to TMH), University of California Davis REACH IGERT (to SEM), Mia Tegner Historical Ecology Grant (to SEM), the EPA STAR Fellowship (to SEM) and Switzer Environmental Fellowship (to SEM). The funders had no role in study design, data collection and analysis, decision to publish, or preparation of the manuscript.",Paleoceanographic Insights on Recent Oxygen Minimum Zone Expansion: Lessons for Modern Oceanography
1995,2620,2501,10.1371/journal.pone.0117301,6115,2015-02-04T00:00:00Z,"Ron Pinhasi,Vered Eshed,Noreen von Cramon-Taubadel",17,10,"Pinhasi et al This is an open access article distributed under the terms of the Creative Commons Attribution License, which permits unrestricted use, distribution, and reproduction in any medium, provided the original author and source are credited","This research was supported by the European Research Council Starting Grant (ERC-2010-StG 263441). The funder had no role in study design, data collection and analysis, decision to publish, or preparation of the manuscript.","Incongruity between Affinity Patterns Based on Mandibular and Lower Dental Dimensions following the Transition to Agriculture in the Near East, Anatolia and Europe"
2361,2620,2501,10.1371/journal.pone.0117408,3732,2015-02-04T00:00:00Z,"Julia Arias-Martorell,Josep Maria Potau,Gaëlle Bello-Hellegouarch,Alejandro Pérez-Pérez",28,10,"Arias-Martorell et al This is an open access article distributed under the terms of the Creative Commons Attribution License, which permits unrestricted use, distribution, and reproduction in any medium, provided the original author and source are credited","This research was funded by the Spanish Ministerio de Economía y Competitividad (CGL2011-22999, CGL2010-15340, both to APP; http://www.mineco.gob.es/portal/site/mineco/), the Generalitat de Catalunya (DURSI 2009 SGR 884 to APP; www.gencat.es/dursi), and the Ajudes Predoctorals of the Universitat de Barcelona (APIF-UB 2009/10 to JAM; http://www.ub.edu/beques/3rcicle/ub/apif/index.html). The funders had no role in study design, data collection and analysis, decision to publish, or preparation of the manuscript.
","Like Father, Like Son: Assessment of the Morphological Affinities of A.L. 288–1 (A. afarensis), Sts 7 (A. africanus) and Omo 119–73–2718 (Australopithecus sp.) through a Three-Dimensional Shape Analysis of the Shoulder Joint"
